apagar,campeao,dham,res_apagar,res_campeao,regra
D:\MÍDIA\2015\2015-05\2015-05-09 10.41.19 [32005d9e].jpg,D:\MÍDIA\2015\2015-05\2015-05-07 17.59.53 [bd4e11c3].jpg,0,384x512,3120x4208,R1_derivada
D:\MÍDIA\2015\2015-05\2015-05-10 12.19.11 [acc34d97].jpg,D:\MÍDIA\2015\2015-05\2015-05-09 14.52.15 [a87c6c24].jpg,2,512x384,4208x3120,R1_derivada
D:\MÍDIA\2016\2016-01\2016-01-16 19.29.44 [32e84d99].jpg,D:\MÍDIA\2016\2016-01\2016-01-16 20.27.07 [ef5ddbc7].jpg,0,512x384,4208x3120,R1_derivada
D:\MÍDIA\2021\2021-11\2021-11-06 17.11.28 [139a60ca].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,4,4032x1960,5312x2988,R1_derivada
D:\MÍDIA\0000 SEM DATA\Documentos\2011-07-14 15.48.25 [c2bddbd8].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,7,3072x2304,5312x2988,R1_derivada
D:\MÍDIA\2013\2013-08\2013-08-22 06.49.47 [6d34a464].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,3,3072x2304,5312x2988,R1_derivada
D:\MÍDIA\2013\2013-08\2013-08-22 06.50.01 [c6afe18f].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,4,3072x2304,5312x2988,R1_derivada
D:\MÍDIA\2012\2012-12\2012-12-24 09.45.43 [5abce36c].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,4,3072x2304,5312x2988,R1_derivada
D:\MÍDIA\2010\2010-10\2010-10-10 13.23.14 [a2f0ccda].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,5,3072x2048,5312x2988,R1_derivada
D:\MÍDIA\2010\2010-10\2010-10-10 10.11.21 [e11dc9a7].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,5,3072x2048,5312x2988,R1_derivada
D:\MÍDIA\2011\2011-06\2011-06-22 07.05.55 [e4a296e3].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,4,2592x1944,5312x2988,R1_derivada
D:\MÍDIA\2011\2011-06\2011-06-05 15.03.04 [452c8bde].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,3,1944x2592,5312x2988,R1_derivada
D:\MÍDIA\2008\2008-09\2008-09-28 05.36.33 [5f945a60].jpg,D:\MÍDIA\0000 SEM DATA\Sem ano\2015-10-21 01.18.23 [cc562ed3].jpg,2,2048x1536,5312x2988,R1_derivada
