coluna,etiqueta,cor_atual,cor_alvo,remover_se_apply
advogados,JULIANA COSTA SOARES,yellow,yellow,0
advogados,ANDRE GARCIA XEREZ SILVA,default,default,0
advogados,ANDRESSA ROCHA MUNIZ,blue,blue,0
advogados,Sanderson Liênio da Silva Mafra,green,green,0
advogados,Matheus D Agostino Martins,yellow,yellow,0
advogados,Vinicius Guilherme dos Santos,green,green,0
advogados,Hillana Martina Lopes Mousinho Neiva,gray,gray,0
advogados,Leandro Gomes de Melo,blue,blue,0
advogados,ROBERTA PIRES FERREIRA VEIGA,orange,orange,0
advogados,FABIO RONAN SOUZA SANTOS,red,red,0
advogados,YURI POMPEU BRAGA GONCALVES,yellow,yellow,0
advogados,YURI POMPEU BRAG,yellow,yellow,0
advogados,Raul Lustosa Bittencourt de Araújo,gray,gray,0
advogados,Francisco Victor Vasconcelos,gray,gray,0
advogados,Vadson de Almeida Paula,default,default,0
advogados,Renato Godoy Inácio de Oliveira,default,default,0
advogados,JOSE RODRIGUES DA SILVA,green,green,0
advogados,BRUNO LOPES DE ARAUJO,blue,blue,0
advogados,LANUSY DOS SANTOS GOMES - TO10.633,gray,gray,0
advogados,JOAO VICTOR DA CRUZ SILVA,orange,orange,0
advogados,JOAO VICTOR DA CRUZ SILVA EL,yellow,yellow,0
advogados,Guilherme Trentin Affonso Soares,pink,pink,0
advogados,Marcelo Santiago de Pádua Andrade,green,green,0
advogados,DYOGO CROSARA,brown,brown,0
advogados,LAURA FERREIRA ALVES DE CARVALHO,blue,blue,0
advogados,YASMIN MELO RODRIGUES,default,default,0
advogados,THALLES EDUARDO FALCÃO DE OLIVEIRA,brown,brown,0
advogados,José de Sousa Farias Neto,green,green,0
advogados,PABLO DJURIC LADEIRA,default,default,0
advogados,NARA GUIMARAES BRASIL RODOVALHO,red,red,0
advogados,SANDRA REGINA DJURIC,orange,orange,0
advogados,Ana Paula Cunha Coelho,brown,brown,0
advogados,Ana Karina Sampaio Octaviano Falcão,orange,orange,0
advogados,Paulo Henrique Teles Fagundes,brown,brown,0
