"ID","Nome (Artigo)","Texto do Artigo"
"61","Art. 21, III","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 21, III

Art. 21. As penas aplicáveis isolada, cumulativa ou alternativamente às pessoas jurídicas, de acordo com o disposto no Art. 3º, são:
III - prestação de serviços à comunidade."
"62","Art. 22","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22

Art. 22. As penas restritivas de direitos da pessoa jurídica são:"
"63","Art. 22, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, I

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
I - suspensão parcial ou total de atividades;"
"64","Art. 22, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, II

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
II - interdição temporária de estabelecimento, obra ou atividade;"
"65","Art. 22, III","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, III

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
III - proibição de contratar com o Poder Público, bem como dele obter subsídios, subvenções ou doações."
"66","Art. 22, §1º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, §1º

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
§1º A suspensão de atividades será aplicada quando estas não estiverem obedecendo às disposições legais ou regulamentares, relativas à proteção do meio ambiente."
"67","Art. 22, §2º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, §2º

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
§2º A interdição será aplicada quando o estabelecimento, obra ou atividade estiver funcionando sem a devida autorização, ou em desacordo com a concedida, ou com violação de disposição legal ou regulamentar."
"68","Art. 22, §3º","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 22, §3º

Art. 22. As penas restritivas de direitos da pessoa jurídica são:
§3º A proibição de contratar com o Poder Público e dele obter subsídios, subvenções ou doações não poderá exceder o prazo de dez anos."
"69","Art. 23","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 23

Art. 23. A prestação de serviços à comunidade pela pessoa jurídica consistirá em:"
"70","Art. 23, I","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 23, I

Art. 23. A prestação de serviços à comunidade pela pessoa jurídica consistirá em:
I - custeio de programas e de projetos ambientais;"
"71","Art. 23, II","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 23, II

Art. 23. A prestação de serviços à comunidade pela pessoa jurídica consistirá em:
II - execução de obras de recuperação de áreas degradadas;"
"72","Art. 23, III","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 23, III

Art. 23. A prestação de serviços à comunidade pela pessoa jurídica consistirá em:
III - manutenção de espaços públicos;"
"73","Art. 23, IV","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 23, IV

Art. 23. A prestação de serviços à comunidade pela pessoa jurídica consistirá em:
IV - contribuições a entidades ambientais ou culturais públicas."
"74","Art. 24","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO II - DA APLICAÇÃO DA PENA
Dispositivo: Art. 24

Art. 24. A pessoa jurídica constituída ou utilizada, preponderantemente, com o fim de permitir, facilitar ou ocultar a prática de crime definido nesta Lei terá decretada sua liquidação forçada, seu patrimônio será considerado instrumento do crime e como tal perdido em favor do Fundo Penitenciário Nacional."
"75","Art. 25","Documento: LEI nº 9.605, DE 12 DE FEVEREIRO DE 1998
Hierarquia: CAPÍTULO III - DA APREENSÃO DO PRODUTO E DO INSTRUMENTO DE INFRAÇÃO
Dispositivo: Art. 25

Art. 25. Verificada a infração, serão apreendidos seus produtos e instrumentos, lavrando-se os respectivos autos. (Vide ADPF 640)"
