path_original,origem_atual,destino_novo,categoria,conf
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\20200528_102626.jpg,D:\MÍDIA\2020\2020-05\2020-05-28 10.26.26 [3745236f].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2020-05-28 10.26.26 [3745236f].jpg,documento_trivial,0.84
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20190821-WA0011.jpg,D:\MÍDIA\2019\2019-08\2019-08-21 [02574dab].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2019-08-21 [02574dab].jpg,documento_trivial,0.78
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20190821-WA0013.jpg,D:\MÍDIA\2019\2019-08\2019-08-21 [19f098a7].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2019-08-21 [19f098a7].jpg,documento_trivial,0.78
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20191027-WA0012.jpg,D:\MÍDIA\2019\2019-10\2019-10-27 [decd35e6].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2019-10-27 [decd35e6].jpg,tela,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20191228-WA0023.jpg,D:\MÍDIA\2019\2019-12\2019-12-28 [b8a425de].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2019-12-28 [b8a425de].jpg,tela,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200104-WA0008.jpg,D:\MÍDIA\2020\2020-01\2020-01-04 [d211d745].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\DOCUMENTOS TRIVIAIS\2020-01-04 [d211d745].jpg,documento_trivial,0.91
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200104-WA0012.jpg,D:\MÍDIA\2020\2020-01\2020-01-04 [ed272681].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2020-01-04 [ed272681].jpg,tela,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200124-WA0041.jpg,D:\MÍDIA\2020\2020-01\2020-01-24 [49d89f8c].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2020-01-24 [49d89f8c].jpg,tela,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200128-WA0047.jpg,D:\MÍDIA\2020\2020-01\2020-01-28 [9488ea3e].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-01-28 [9488ea3e].jpg,meme_web,0.98
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200203-WA0011.jpg,D:\MÍDIA\2020\2020-02\2020-02-03 [188d6c33].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-03 [188d6c33].jpg,meme_web,1.0
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200129-WA0021.jpg,D:\MÍDIA\2020\2020-01\2020-01-29 [8abb1fff].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\TELAS\2020-01-29 [8abb1fff].jpg,tela,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200130-WA0012.jpg,D:\MÍDIA\2020\2020-01\2020-01-30 [9823c5bd].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-01-30 [9823c5bd].jpg,meme_web,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200205-WA0035.jpg,D:\MÍDIA\2020\2020-02\2020-02-05 [dd5c28bd].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-05 [dd5c28bd].jpg,meme_web,0.99
D:\HD EXTERNO Mário\BACKUP MÁRIO 2020\IMG-20200214-WA0021.jpg,D:\MÍDIA\2020\2020-02\2020-02-14 [2db25724].jpg,D:\MÍDIA\9990 BAIXA RELEVANCIA\MEMES E WEB\2020-02-14 [2db25724].jpg,meme_web,0.99
