"Acao","De","Para"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 216 NORTE\Comprovante de redimentos.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Comprovante de redimentos.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 216 NORTE\Comprovante de residência.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Comprovante de residência.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 216 NORTE\Contrato.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Contrato.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 216 NORTE\Laudo de vistoria.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Laudo de vistoria.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 216 NORTE\Termo de rescisão.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 216 NORTE\Termo de rescisão.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\Carta (1).pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Carta (1).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\Carta (2).pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Carta (2).pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\Contrato-BOOK-32B45C8B6G.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Contrato-BOOK-32B45C8B6G.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\Contrato.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Contrato.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\FSP.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\FSP.pdf"
"Mover","C:\Users\mauri\OneDrive\Cofre Pessoal\APTO 409 SUL\Laudo de vistoria.pdf","C:\Users\mauri\OneDrive\Documentos\04 - Imóveis\APTO 409 SUL\Laudo de vistoria.pdf"
