page_id,numeroUnico,old_resultado,new_resultado,status
32872195-5c64-8094-aad7-d5e9d9156d29,0600102-46.2025.6.16.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80a4-b5ce-df43f6432671,0000012-83.2018.6.13.0237,unânime,monocrática,updated
32872195-5c64-80aa-950d-f6a8707a7b63,0600797-29.2024.6.09.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80b3-b67b-f763a383df79,0600795-70.2024.6.25.0014,unânime,monocrática,updated
32872195-5c64-80b8-9900-c479431f9628,0600299-04.2024.6.13.0102,unânime,monocrática,updated
32872195-5c64-80ba-9073-c81106443159,0600552-77.2024.6.05.0081,unânime,monocrática,updated
32872195-5c64-80bc-8012-c17cffd9143f,0600410-15.2024.6.18.0048,unânime,monocrática,updated
32872195-5c64-80c2-be13-c2398698e755,0600643-71.2024.6.25.0030,unânime,monocrática,updated
32872195-5c64-80c5-9a5b-e1a3dfdcb941,0600224-44.2024.6.20.0045,unânime,monocrática,updated
32872195-5c64-80c7-95e3-d9b2c6103a1c,0600441-56.2024.6.22.0005,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80c9-8de0-e2671e232072,0600188-80.2024.6.05.0154,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80d0-9dc7-c87e920eaa00,0600225-67.2024.6.18.0018,unânime,monocrática,updated
32872195-5c64-80d3-9a77-fa00813aa44a,0600104-04.2024.6.26.0087,unânime,monocrática,updated
32872195-5c64-80d7-963d-e1fa507fd3f2,0600843-51.2024.6.05.0122,unânime,monocrática,updated
32872195-5c64-80d7-991d-c63de7144367,0600209-87.2024.6.14.0095,unânime,monocrática,updated
32872195-5c64-80da-bf3c-f918254dc0e6,0600244-08.2024.6.17.0081,unânime,monocrática,updated
32872195-5c64-80dc-a12b-fd30b371b605,0600827-81.2024.6.11.0041,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80e2-8087-f9c118ef1316,0600375-43.2024.6.20.0034,por maioria,monocrática,updated
32872195-5c64-80f0-b5f4-cad6920ce25c,0601467-33.2022.6.02.0000,unânime,monocrática,updated
32872195-5c64-80f3-af97-e2d11bd6314c,0600676-43.2024.6.13.0241,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80f5-84e1-f54f79ddbee2,0600044-25.2023.6.19.0131,unânime,monocrática,updated
32872195-5c64-80fe-b5ff-d84bbfc6c51f,0600311-21.2025.6.05.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-80ff-880d-ecddeb12d2c5,0600317-91.2024.6.21.0105,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8101-978d-e6da29ccbef4,0600218-62.2024.6.14.0026,unânime,monocrática,updated
32872195-5c64-8101-b767-db543533e2d2,0600248-93.2024.6.12.0013,por maioria,monocrática,updated
32872195-5c64-8102-877d-fd2182112eef,0600002-57.2025.6.08.0051,unânime,monocrática,updated
32872195-5c64-8103-a20f-fc4e75eacbfa,0600752-80.2024.6.06.0041,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8103-a983-febdd79e553b,0600242-37.2019.6.00.0000,unânime,monocrática,updated
32872195-5c64-8107-bff8-d78d27906456,0600400-74.2024.6.15.0073,unânime,monocrática,updated
32872195-5c64-810b-b27c-cf588b835295,0600508-68.2024.6.13.0329,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-810e-959c-e756bbc4d654,0600605-63.2024.6.13.0169,unânime,monocrática,updated
32872195-5c64-8113-9f0a-c896ee80bb3b,0600353-04.2024.6.02.0028,unânime,monocrática,updated
32872195-5c64-8115-9569-c9d7fe96a9ec,0600270-92.2024.6.19.0196,"por maioria,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8117-b9a8-d5d0476d71e0,0600001-37.2025.6.10.0077,por maioria,monocrática,updated
32872195-5c64-8118-a087-e5ac0113fdb2,0600445-31.2024.6.13.0042,por maioria,monocrática,updated
32872195-5c64-811a-b9f0-c78647ba5a06,0600803-41.2024.6.16.0194,unânime,monocrática,updated
32872195-5c64-811b-ae7a-c53ade67dfb5,0600420-27.2024.6.17.0100,unânime,monocrática,updated
32872195-5c64-8120-8e66-eaa6acd77fa8,0600399-20.2024.6.02.0019,unânime,monocrática,updated
32872195-5c64-8125-855d-c90c0e21cdf8,0600509-39.2024.6.16.0048,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8125-b5fb-d50eeb23b2dc,0600023-77.2026.6.00.0000,monocrática,"monocrática,não conhecido",updated
32872195-5c64-8125-bdc9-fcc822d52ccb,0600476-83.2024.6.09.0132,unânime,monocrática,updated
32872195-5c64-8126-a5b7-f49ddc9ba292,0600574-43.2024.6.13.0169,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8128-8ae7-ec1edafe64b9,0600002-57.2025.6.08.0051,unânime,monocrática,updated
32872195-5c64-812a-be61-c0c96afd2d5d,0600572-87.2024.6.02.0037,unânime,monocrática,updated
32872195-5c64-812e-86ea-f4abee6d8ae8,0602164-21.2022.6.14.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8131-a047-ccd255e503b0,0600220-50.2024.6.13.0126,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8133-a167-de24079cfd7c,0602661-35.2022.6.14.0000,por maioria,monocrática,updated
32872195-5c64-8135-879d-f243d11e39d0,0600120-91.2024.6.08.0043,por maioria,monocrática,updated
32872195-5c64-8137-a4d9-daf3c0bdb6ce,0600513-63.2024.6.13.0241,unânime,monocrática,updated
32872195-5c64-813b-a158-d7bf66dd6413,0600348-38.2024.6.06.0038,unânime,monocrática,updated
32872195-5c64-813c-829a-c6fa5dd51381,0600816-21.2024.6.26.0078,unânime,monocrática,updated
32872195-5c64-813c-9fd7-cab6ee9aa871,0600234-04.2023.6.15.0000,unânime,monocrática,updated
32872195-5c64-813d-b8c2-cb5339f7ee9e,0600001-94.2025.6.13.0225,unânime,monocrática,updated
32872195-5c64-813f-91dd-c08018586e66,0600032-69.2024.6.26.0199,unânime,monocrática,updated
32872195-5c64-813f-a485-cdaa09baed63,0600043-68.2026.6.00.0000,por maioria,monocrática,updated
32872195-5c64-8140-8b66-d2acc6e613fd,0600180-37.2024.6.03.0000,unânime,monocrática,updated
32872195-5c64-8140-a71d-d4d212754893,0600721-10.2024.6.16.0194,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8140-b4a9-d4046722446f,0600413-40.2024.6.09.0041,unânime,monocrática,updated
32872195-5c64-8142-9600-d8a8ca001e73,0600347-67.2026.6.00.0000,por maioria,monocrática,updated
32872195-5c64-8143-82a9-d542caeed8ec,0600325-07.2024.6.10.0095,unânime,monocrática,updated
32872195-5c64-8143-8cc4-cc99e4256e76,0600283-52.2024.6.14.0060,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-8144-8843-ccfd72da676a,0600560-36.2024.6.02.0017,unânime,monocrática,updated
32872195-5c64-8145-b5b0-c71643c754ab,0600600-80.2024.6.26.0427,unânime,monocrática,updated
32872195-5c64-8147-bbc1-d10d6d551ef9,0602270-80.2022.6.14.0000,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-814a-8d65-faea8354ed51,0600037-02.2021.6.26.0101,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-814b-a439-fa9c84771289,0600192-94.2024.6.26.0296,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-814c-907f-e54d704eb8a3,0600182-33.2024.6.20.0000,unânime,monocrática,updated
32872195-5c64-814d-928b-c33aa3623651,0600663-48.2024.6.13.0175,"unânime,não conhecido","monocrática,não conhecido",updated
32872195-5c64-814f-bfb6-f7ae700f3a2a,0600090-38.2024.6.26.0275,unânime,monocrática,updated
32872195-5c64-8150-abfc-d8dc1d582a2a,0600052-52.2025.6.16.0151,unânime,monocrática,updated
32872195-5c64-8154-b7c2-f79d735357d8,0601725-58.2022.6.23.0000,unânime,monocrática,updated
32872195-5c64-8155-8186-e737d0efc1cc,0600354-26.2024.6.26.0220,unânime,monocrática,updated
32872195-5c64-8155-a4c8-ef67ceee3d50,0601453-16.2022.6.14.0000,unânime,monocrática,updated
