item_before,item_after,action,occurrences
Lei nº 7.998/1990,Lei nº 7.998/1990,unchanged,5
Lei nº 8.036/1990 Art 20,Lei nº 8.036/1990 art. 20,normalized,5
Lei nº 8.080/1990,Lei nº 8.080/1990,unchanged,5
Lei nº 8.112/1990 art 68,Lei nº 8.112/1990 art. 68,normalized,5
Lei nº 8.112/1990 artigo 127,Lei nº 8.112/1990 art. 127,normalized,5
Lei nº 8.112/1990 artigo 183,Lei nº 8.112/1990 art. 183,normalized,5
Lei nº 8.137 1990,Lei nº 8.137/1990,normalized,5
Lei nº 8.176 1991 art 2º,Lei nº 8.176/1991 art. 2º,normalized,5
Lei nº 8.213/1991 artigo 48,Lei nº 8.213/1991 art. 48,normalized,5
Lei nº 8.213/1991 artigo 71,Lei nº 8.213/1991 art. 71,normalized,5
Lei nº 8.429 1992 art 11,Lei nº 8.429/1992 art. 11,normalized,5
Lei nº 8.629/1993,Lei nº 8.629/1993,unchanged,5
Lei nº 8.666 1993 art 90,Lei nº 8.666/1993 art. 90,normalized,5
Lei nº 8.666/1993 artigo 90,Lei nº 8.666/1993 art. 90,normalized,5
Lei nº 8.745/1993,Lei nº 8.745/1993,unchanged,5
Lei nº 8.745/1993 art 9º III,Lei nº 8.745/1993 art. 9º III,normalized,5
Lei nº 8.906/1994 art 22 § 4º,Lei nº 8.906/1994 art. 22 § 4º,normalized,5
Lei nº 8.989/1995,Lei nº 8.989/1995,unchanged,5
Lei nº 9.032/1995,Lei nº 9.032/1995,unchanged,5
Lei nº 9.249/1995,Lei nº 9.249/1995,unchanged,5
Lei nº 9.394 1996,Lei nº 9.394/1996,normalized,5
Lei nº 9.430/1996 art 74,Lei nº 9.430/1996 art. 74,normalized,5
Lei nº 9.494/1997 Art 2º-A,Lei nº 9.494/1997 art. 2º-A,normalized,5
Lei nº 9.514/1997 art 26,Lei nº 9.514/1997 art. 26,normalized,5
Lei nº 9.528/1997,Lei nº 9.528/1997,unchanged,5
Lei nº 9.613/1998 art 1º,Lei nº 9.613/1998 art. 1º,normalized,5
