item_before,item_after,action,occurrences
MP 2.215-10/2001,MP nº 2.215-10/2001,normalized,5
MP 780 2017,MP nº 780/2017,normalized,5
MP 871 2019,MP nº 871/2019,normalized,5
CC art 884,CC art. 884,normalized,4
CDC art 57,CDC art. 57,normalized,4
CDC artigo 6,CDC art. 6º,normalized,4
CF/88 Art 206,CF/88 art. 206,normalized,4
CF/88 Art 37 IV,CF/88 art. 37 inc. IV,normalized,4
CF/88 art 145 II,CF/88 art. 145 inc. II,normalized,4
CF/88 art 149 § 2º I,CF/88 art. 149 § 2º inc. I,normalized,4
CF/88 art 170,CF/88 art. 170,normalized,4
CF/88 art 191 parágrafo único,CF/88 art. 191 § único,normalized,4
CF/88 art 195 II,CF/88 art. 195 inc. II,normalized,4
CF/88 art 203,CF/88 art. 203,normalized,4
CF/88 art 236,CF/88 art. 236,normalized,4
CF/88 art 24,CF/88 art. 24,normalized,4
CF/88 art 37 § 5º,CF/88 art. 37 § 5º,normalized,4
CF/88 art 40 § 16,CF/88 art. 40 § 16,normalized,4
CF/88 art 40 § 19,CF/88 art. 40 § 19,normalized,4
CF/88 art 40 §8º,CF/88 art. 40 § 8º,normalized,4
CF/88 art 5º LXIII,CF/88 art. 5º LXIII,normalized,4
CF/88 art 5º LXXVIII,CF/88 art. 5º LXXVIII,normalized,4
CF/88 art 8º III,CF/88 art. 8º III,normalized,4
CF/88 art. 205,CF/88 art. 205,unchanged,4
CF/88 artigo 195,CF/88 art. 195,normalized,4
CF/88 artigo 206,CF/88 art. 206,normalized,4
CF/88 artigo 22,CF/88 art. 22,normalized,4
CF/88 artigo 39,CF/88 art. 39,normalized,4
CF/88 artigo 6o,CF/88 art. 6º,normalized,4
CP Art 1,CP art. 1º,normalized,4
CP art 155 § 4º II,CP art. 155 § 4º inc. II,normalized,4
CP art 157,CP art. 157,normalized,4
CP art 157 § 2º I,CP art. 157 § 2º inc. I,normalized,4
CP art 157 § 2º V,CP art. 157 § 2º inc. V,normalized,4
CP art 180,CP art. 180,normalized,4
CP art 317 § 1º,CP art. 317 § 1º,normalized,4
CP art 327,CP art. 327,normalized,4
CP art 334 A § 1º IV,CP art. 334-A § 1º inc. IV,normalized,4
CP art 66,CP art. 66,normalized,4
CP artigo 29,CP art. 29,normalized,4
CP artigo 304,CP art. 304,normalized,4
CP artigo 317,CP art. 317,normalized,4
CP artigo 333,CP art. 333,normalized,4
CPC/1973 art 333,CPC/1973 art. 333,normalized,4
CPC/2015 Art 1013 § 3º,CPC/2015 art. 1013 § 3º,normalized,4
CPC/2015 Art 219,CPC/2015 art. 219,normalized,4
CPC/2015 Art 485,CPC/2015 art. 485,normalized,4
CPC/2015 Art 537,CPC/2015 art. 537,normalized,4
CPC/2015 art 114,CPC/2015 art. 114,normalized,4
CPC/2015 art 332,CPC/2015 art. 332,normalized,4
CPC/2015 art 370,CPC/2015 art. 370,normalized,4
CPC/2015 art 485 VI,CPC/2015 art. 485 inc. VI,normalized,4
CPC/2015 art 485 § 1º,CPC/2015 art. 485 § 1º,normalized,4
CPC/2015 art 525,CPC/2015 art. 525,normalized,4
CPC/2015 art 674,CPC/2015 art. 674,normalized,4
CPC/2015 art 6º,CPC/2015 art. 6º,normalized,4
CPC/2015 art 782 §3º,CPC/2015 art. 782 § 3º,normalized,4
CPC/2015 art 80,CPC/2015 art. 80,normalized,4
CPC/2015 art 833 § 2º,CPC/2015 art. 833 § 2º,normalized,4
CPC/2015 art 85 § 19,CPC/2015 art. 85 § 19,normalized,4
CPC/2015 art 924 II,CPC/2015 art. 924 inc. II,normalized,4
CPC/2015 artigo 272,CPC/2015 art. 272,normalized,4
CPC/2015 artigo 332,CPC/2015 art. 332,normalized,4
CPC/2015 artigo 369,CPC/2015 art. 369,normalized,4
CPC/2015 artigo 435,CPC/2015 art. 435,normalized,4
CPC/2015 artigo 675,CPC/2015 art. 675,normalized,4
CPC/2015 artigo 966,CPC/2015 art. 966,normalized,4
CPP Art 265,CPP art. 265,normalized,4
CPP art 197,CPP art. 197,normalized,4
CPP art 244,CPP art. 244,normalized,4
CPP art 319 VI,CPP art. 319 inc. VI,normalized,4
CPP art 386 V,CPP art. 386 inc. V,normalized,4
CPP art 397 III,CPP art. 397 inc. III,normalized,4
CPP art 3º,CPP art. 3º,normalized,4
CPP art 621 III,CPP art. 621 inc. III,normalized,4
CPP artigo 240,CPP art. 240,normalized,4
CTB artigo 1,CTB art. 1º,normalized,4
CTB artigo 29,CTB art. 29,normalized,4
CTN,,drop_generic_or_invalid,4
CTN art 14,CTN art. 14,normalized,4
CTN art 173 I,CTN art. 173 inc. I,normalized,4
CTN art 34,CTN art. 34,normalized,4
Constituição Federal 1988,,drop_generic_or_invalid,4
DL nº 1025 1969,DL nº 1.025/1969,normalized,4
DL nº 201 1967,DL nº 201/1967,normalized,4
DL nº 3.240/1941,DL nº 3.240/1941,unchanged,4
DL nº 3.365/1941 art 34 parágrafo único,DL nº 3.365/1941 art. 34 § único,normalized,4
Decreto 3.048 1999,Decreto nº 3.048/1999,normalized,4
ECA art 241 A,ECA art. 241-A,normalized,4
Emenda Constitucional 103 2019,EC 103/2019,normalized,4
Lei 11.343/2006 art 33,Lei nº 11.343/2006 art. 33,normalized,4
Lei 13.043 2014 art 114 inciso IX,Lei nº 13.043/2014 art. 114 inc. IX,normalized,4
Lei 13.954 2019,Lei nº 13.954/2019,normalized,4
Lei 6.830/1980,Lei nº 6.830/1980,normalized,4
Lei 8.429/1992 art 10,Lei nº 8.429/1992 art. 10,normalized,4
Lei 8.429/1992 art 11,Lei nº 8.429/1992 art. 11,normalized,4
Lei 9.514/1997,Lei nº 9.514/1997,normalized,4
Lei 9.613 1998 art 1º,Lei nº 9.613/1998 art. 1º,normalized,4
Lei Complementar 123 2006,LC nº 123/2006,normalized,4
Lei nº 1.060/1950,Lei nº 1.060/1950,unchanged,4
Lei nº 10.233/2001,Lei nº 10.233/2001,unchanged,4
Lei nº 10.522 2002,Lei nº 10.522/2002,normalized,4
Lei nº 10.887 2004,Lei nº 10.887/2004,normalized,4
Lei nº 10.931/2004 art 28,Lei nº 10.931/2004 art. 28,normalized,4
Lei nº 11.196/2005,Lei nº 11.196/2005,unchanged,4
Lei nº 11.343/2006 Art 28,Lei nº 11.343/2006 art. 28,normalized,4
Lei nº 11.343/2006 art 33 caput,Lei nº 11.343/2006 art. 33 caput,normalized,4
Lei nº 11.355/2006,Lei nº 11.355/2006,unchanged,4
Lei nº 11.457/2007 art 24,Lei nº 11.457/2007 art. 24,normalized,4
Lei nº 11.488 2007,Lei nº 11.488/2007,normalized,4
Lei nº 11.494/2007,Lei nº 11.494/2007,unchanged,4
Lei nº 11.890/2008,Lei nº 11.890/2008,unchanged,4
Lei nº 11.941 2009,Lei nº 11.941/2009,normalized,4
Lei nº 12.249/2010,Lei nº 12.249/2010,unchanged,4
Lei nº 12.514/2011,Lei nº 12.514/2011,unchanged,4
Lei nº 12.871/2013,Lei nº 12.871/2013,unchanged,4
Lei nº 12.990 2014,Lei nº 12.990/2014,normalized,4
Lei nº 13.463/2017,Lei nº 13.463/2017,unchanged,4
Lei nº 13.496/2017,Lei nº 13.496/2017,unchanged,4
Lei nº 13.681/2018,Lei nº 13.681/2018,unchanged,4
Lei nº 13.709/2018,Lei nº 13.709/2018,unchanged,4
Lei nº 13.876/2019,Lei nº 13.876/2019,unchanged,4
Lei nº 13.954 2019,Lei nº 13.954/2019,normalized,4
Lei nº 13.979 2020,Lei nº 13.979/2020,normalized,4
Lei nº 3.268/1957,Lei nº 3.268/1957,unchanged,4
Lei nº 3.765 1960,Lei nº 3.765/1960,normalized,4
Lei nº 4.380/1964,Lei nº 4.380/1964,unchanged,4
Lei nº 4.595/1964,Lei nº 4.595/1964,unchanged,4
Lei nº 5.315/1967,Lei nº 5.315/1967,unchanged,4
Lei nº 6.015/1973,Lei nº 6.015/1973,unchanged,4
Lei nº 6.815/1980,Lei nº 6.815/1980,unchanged,4
Lei nº 6.830/1980 Art 2,Lei nº 6.830/1980 art. 2º,normalized,4
Lei nº 6.938/1981 artigo 14,Lei nº 6.938/1981 art. 14,normalized,4
Lei nº 7.102/1983,Lei nº 7.102/1983,unchanged,4
Lei nº 7.716/1989 art 20 § 2º,Lei nº 7.716/1989 art. 20 § 2º,normalized,4
Lei nº 8.025/1990 Art 6º,Lei nº 8.025/1990 art. 6º,normalized,4
Lei nº 8.036 1990 Art 20,Lei nº 8.036/1990 art. 20,normalized,4
Lei nº 8.069 1990,Lei nº 8.069/1990,normalized,4
Lei nº 8.069/1990 art 54 IV,Lei nº 8.069/1990 art. 54 inc. IV,normalized,4
Lei nº 8.078/1990 art 14,Lei nº 8.078/1990 art. 14,normalized,4
Lei nº 8.078/1990 artigo 14,Lei nº 8.078/1990 art. 14,normalized,4
Lei nº 8.112/1990 Art 217,Lei nº 8.112/1990 art. 217,normalized,4
Lei nº 8.112/1990 Art 86,Lei nº 8.112/1990 art. 86,normalized,4
Lei nº 8.112/1990 art 20,Lei nº 8.112/1990 art. 20,normalized,4
Lei nº 8.112/1990 art 202,Lei nº 8.112/1990 art. 202,normalized,4
Lei nº 8.112/1990 art 243,Lei nº 8.112/1990 art. 243,normalized,4
Lei nº 8.112/1990 art 84,Lei nº 8.112/1990 art. 84,normalized,4
Lei nº 8.112/1990 artigo 143,Lei nº 8.112/1990 art. 143,normalized,4
Lei nº 8.212/1991 Artigo 28,Lei nº 8.212/1991 art. 28,normalized,4
Lei nº 8.212/1991 art 55,Lei nº 8.212/1991 art. 55,normalized,4
Lei nº 8.213 1991 Art 45,Lei nº 8.213/1991 art. 45,normalized,4
Lei nº 8.213/1991 Art 26 II,Lei nº 8.213/1991 art. 26 inc. II,normalized,4
Lei nº 8.213/1991 art 29 II,Lei nº 8.213/1991 art. 29 inc. II,normalized,4
Lei nº 8.213/1991 art 42,Lei nº 8.213/1991 art. 42,normalized,4
Lei nº 8.213/1991 art 60,Lei nº 8.213/1991 art. 60,normalized,4
Lei nº 8.213/1991 artigo 20,Lei nº 8.213/1991 art. 20,normalized,4
Lei nº 8.213/1991 artigo 29,Lei nº 8.213/1991 art. 29,normalized,4
Lei nº 8.216/1991,Lei nº 8.216/1991,unchanged,4
Lei nº 8.429/1992 Art 11 caput,Lei nº 8.429/1992 art. 11 caput,normalized,4
Lei nº 8.629/1993 art 21,Lei nº 8.629/1993 art. 21,normalized,4
Lei nº 8.666 1993 Art 89,Lei nº 8.666/1993 art. 89,normalized,4
Lei nº 8.666/1993 artigo 37,Lei nº 8.666/1993 art. 37,normalized,4
Lei nº 8.878 1994,Lei nº 8.878/1994,normalized,4
Lei nº 8.899/1994,Lei nº 8.899/1994,unchanged,4
Lei nº 8.906/1994,Lei nº 8.906/1994,unchanged,4
Lei nº 8.911/1994,Lei nº 8.911/1994,unchanged,4
Lei nº 8.989 1995,Lei nº 8.989/1995,normalized,4
Lei nº 9.099/1995 artigo 3,Lei nº 9.099/1995 art. 3º,normalized,4
Lei nº 9.250/1995,Lei nº 9.250/1995,unchanged,4
Lei nº 9.279/1996,Lei nº 9.279/1996,unchanged,4
Lei nº 9.294/1996,Lei nº 9.294/1996,unchanged,4
Lei nº 9.472/1997,Lei nº 9.472/1997,unchanged,4
Lei nº 9.478/1997,Lei nº 9.478/1997,unchanged,4
Lei nº 9.494/1997,Lei nº 9.494/1997,unchanged,4
Lei nº 9.514/1997 art 27,Lei nº 9.514/1997 art. 27,normalized,4
Lei nº 9.605/1998 Art 25,Lei nº 9.605/1998 art. 25,normalized,4
Lei nº 9.605/1998 art 4º,Lei nº 9.605/1998 art. 4º,normalized,4
Lei nº 9.605/1998 art 6º,Lei nº 9.605/1998 art. 6º,normalized,4
Lei nº 9.605/1998 artigo 38,Lei nº 9.605/1998 art. 38,normalized,4
Lei nº 9.613/1998,Lei nº 9.613/1998,unchanged,4
Lei nº 9.624/1998,Lei nº 9.624/1998,unchanged,4
Lei nº 9.784/1999 Art 2,Lei nº 9.784/1999 art. 2º,normalized,4
MP 2.165-36 2001,MP nº 2.165-36/2001,normalized,4
MP 2.196-3 2001,MP nº 2.196-3/2001,normalized,4
MP 2.196-3/2001,MP nº 2.196-3/2001,normalized,4
Portaria Presi CENAG 491 2011,Portaria Presi CENAG 491 2011,unchanged,4
Súmula 33 STJ,Súmula 33 STJ,unchanged,4
ADCT Art 54,ADCT art. 54,normalized,3
ADCT art 8,ADCT art. 8º,normalized,3
CC art 927,CC art. 927,normalized,3
CDC art 6 VIII,CDC art. 6º inc. VIII,normalized,3
CDC artigo 14,CDC art. 14,normalized,3
CF/88 Art 109 V,CF/88 art. 109 inc. V,normalized,3
CF/88 Art 39 § 3º,CF/88 art. 39 § 3º,normalized,3
CF/88 Art 40 § 5º,CF/88 art. 40 § 5º,normalized,3
CF/88 Art 5º XL,CF/88 art. 5º XL,normalized,3
CF/88 art 100 § 5º,CF/88 art. 100 § 5º,normalized,3
CF/88 art 102 I a,CF/88 art. 102 inc. I al. a,normalized,3
CF/88 art 102 I b,CF/88 art. 102 inc. I al. b,normalized,3
CF/88 art 109 inciso I,CF/88 art. 109 inc. I,normalized,3
CF/88 art 129,CF/88 art. 129,normalized,3
CF/88 art 142 § 2º,CF/88 art. 142 § 2º,normalized,3
CF/88 art 142 § 3º X,CF/88 art. 142 § 3º inc. X,normalized,3
CF/88 art 144,CF/88 art. 144,normalized,3
CF/88 art 149,CF/88 art. 149,normalized,3
CF/88 art 149 §2º I,CF/88 art. 149 § 2º inc. I,normalized,3
CF/88 art 150 VI a,CF/88 art. 150 inc. VI al. a,normalized,3
CF/88 art 150 VI c,CF/88 art. 150 inc. VI al. c,normalized,3
CF/88 art 158 I,CF/88 art. 158 inc. I,normalized,3
CF/88 art 176 § 1º,CF/88 art. 176 § 1º,normalized,3
CF/88 art 189,CF/88 art. 189,normalized,3
CF/88 art 195 § 7º,CF/88 art. 195 § 7º,normalized,3
CF/88 art 195 §7º,CF/88 art. 195 § 7º,normalized,3
CF/88 art 2,CF/88 art. 2º,normalized,3
CF/88 art 215,CF/88 art. 215,normalized,3
CF/88 art 216,CF/88 art. 216,normalized,3
CF/88 art 225 § 4º,CF/88 art. 225 § 4º,normalized,3
CF/88 art 37 inciso XI,CF/88 art. 37 inc. XI,normalized,3
CF/88 art 37 §5º,CF/88 art. 37 § 5º,normalized,3
CF/88 art 39,CF/88 art. 39,normalized,3
CF/88 art 39 § 4º,CF/88 art. 39 § 4º,normalized,3
CF/88 art 40 § 10,CF/88 art. 40 § 10,normalized,3
CF/88 art 40 § 4º II,CF/88 art. 40 § 4º inc. II,normalized,3
CF/88 art 41,CF/88 art. 41,normalized,3
CF/88 art 5 LV,CF/88 art. 5º inc. LV,normalized,3
CF/88 art 5 inciso LV,CF/88 art. 5º inc. LV,normalized,3
CF/88 art 5º IV,CF/88 art. 5º IV,normalized,3
CF/88 art 5º XXXIII,CF/88 art. 5º XXXIII,normalized,3
CF/88 art 5º inciso LV,CF/88 art. 5º inc. LV,normalized,3
CF/88 art 5º inciso LXXVIII,CF/88 art. 5º inc. LXXVIII,normalized,3
CF/88 art 93,CF/88 art. 93,normalized,3
CF/88 art 96 I a,CF/88 art. 96 inc. I al. a,normalized,3
CF/88 art. 109 I,CF/88 art. 109 inc. I,normalized,3
CF/88 art. 207,CF/88 art. 207,unchanged,3
CF/88 art. 220,CF/88 art. 220,unchanged,3
CF/88 art. 37 IX,CF/88 art. 37 inc. IX,normalized,3
CF/88 art. 5º LIV,CF/88 art. 5º LIV,unchanged,3
CF/88 artigo 102,CF/88 art. 102,normalized,3
CF/88 artigo 134,CF/88 art. 134,normalized,3
CF/88 artigo 1º,CF/88 art. 1º,normalized,3
CF/88 artigo 203,CF/88 art. 203,normalized,3
CF/88 artigo 30,CF/88 art. 30,normalized,3
CF/88 artigo 5 inciso XXIV,CF/88 art. 5º inc. XXIV,normalized,3
CLT art 428,CLT art. 428,normalized,3
CP 33,,drop_generic_or_invalid,3
CP Art 17,CP art. 17,normalized,3
CP Art 216 A,CP art. 216-A,normalized,3
CP Art 289 § 1º,CP art. 289 § 1º,normalized,3
CP Art 297 § 4º,CP art. 297 § 4º,normalized,3
CP Art 334 A § 1º V,CP art. 334-A § 1º inc. V,normalized,3
CP Art 92,CP art. 92,normalized,3
CP art 109,CP art. 109,normalized,3
CP art 109 IV,CP art. 109 inc. IV,normalized,3
CP art 138,CP art. 138,normalized,3
CP art 155 §4º,CP art. 155 § 4º,normalized,3
CP art 157 § 2º A I,CP art. 157 § 2º A I,normalized,3
CP art 163 parágrafo único III,CP art. 163 § único III,normalized,3
CP art 168 A,CP art. 168-A,normalized,3
CP art 171 §3º,CP art. 171 § 3º,normalized,3
CP art 180 § 1º,CP art. 180 § 1º,normalized,3
CP art 2,CP art. 2º,normalized,3
CP art 26,CP art. 26,normalized,3
CP art 298,CP art. 298,normalized,3
CP art 2º,CP art. 2º,normalized,3
CP art 305,CP art. 305,normalized,3
CP art 313 A,CP art. 313-A,normalized,3
CP art 313-A,CP art. 313-A,normalized,3
CP art 327 § 1º,CP art. 327 § 1º,normalized,3
CP art 327 § 2°,CP art. 327 § 2°,normalized,3
CP art 331,CP art. 331,normalized,3
CP art 334 caput,CP art. 334 caput,normalized,3
CP art 334 § 1º c,CP art. 334 § 1º inc. C,normalized,3
CP art 337-A,CP art. 337-A,normalized,3
CP art 339,CP art. 339,normalized,3
CP art 344,CP art. 344,normalized,3
CP art 61 II g,CP art. 61 inc. II al. g,normalized,3
CP art 68,CP art. 68,normalized,3
CP art 70,CP art. 70,normalized,3
CP art 92 I a,CP art. 92 inc. I al. a,normalized,3
CP artigo 107,CP art. 107,normalized,3
CP artigo 109,CP art. 109,normalized,3
CP artigo 327,CP art. 327,normalized,3
CP artigo 5,CP art. 5º,normalized,3
CP artigo 59,CP art. 59,normalized,3
CP artigo 77,CP art. 77,normalized,3
CPC/1973 art. 333 I,CPC/1973 art. 333 inc. I,normalized,3
CPC/2015 373,,drop_generic_or_invalid,3
CPC/2015 Art 47,CPC/2015 art. 47,normalized,3
CPC/2015 Art 473,CPC/2015 art. 473,normalized,3
CPC/2015 Art 785,CPC/2015 art. 785,normalized,3
CPC/2015 Art 98,CPC/2015 art. 98,normalized,3
CPC/2015 Artigo 64,CPC/2015 art. 64,normalized,3
CPC/2015 art 1030 II,CPC/2015 art. 1030 inc. II,normalized,3
CPC/2015 art 14,CPC/2015 art. 14,normalized,3
CPC/2015 art 286 II,CPC/2015 art. 286 inc. II,normalized,3
CPC/2015 art 373 II,CPC/2015 art. 373 inc. II,normalized,3
CPC/2015 art 485 III,CPC/2015 art. 485 inc. III,normalized,3
CPC/2015 art 492,CPC/2015 art. 492,normalized,3
CPC/2015 art 534,CPC/2015 art. 534,normalized,3
CPC/2015 art 55,CPC/2015 art. 55,normalized,3
CPC/2015 art 782 § 3º,CPC/2015 art. 782 § 3º,normalized,3
CPC/2015 art 85 § 3º,CPC/2015 art. 85 § 3º,normalized,3
CPC/2015 art 9,CPC/2015 art. 9º,normalized,3
CPC/2015 art 90,CPC/2015 art. 90,normalized,3
CPC/2015 art 966 VIII,CPC/2015 art. 966 inc. VIII,normalized,3
CPC/2015 art. 373 I,CPC/2015 art. 373 inc. I,normalized,3
CPC/2015 art. 966 V,CPC/2015 art. 966-V,normalized,3
CPC/2015 artigo 238,CPC/2015 art. 238,normalized,3
CPC/2015 artigo 246,CPC/2015 art. 246,normalized,3
CPC/2015 artigo 267,CPC/2015 art. 267,normalized,3
CPC/2015 artigo 313,CPC/2015 art. 313,normalized,3
CPC/2015 artigo 331,CPC/2015 art. 331,normalized,3
CPC/2015 artigo 434,CPC/2015 art. 434,normalized,3
CPC/2015 artigo 494,CPC/2015 art. 494,normalized,3
CPC/2015 artigo 5,CPC/2015 art. 5º,normalized,3
CPC/2015 artigo 789,CPC/2015 art. 789,normalized,3
CPC/2015 artigo 833,CPC/2015 art. 833,normalized,3
CPC/2015 artigo 924,CPC/2015 art. 924,normalized,3
CPP Art 144 A,CPP art. 144-A,normalized,3
CPP Art 28 A,CPP art. 28-A,normalized,3
CPP Art 318 V,CPP art. 318 inc. V,normalized,3
CPP art 157,CPP art. 157,normalized,3
CPP art 240,CPP art. 240,normalized,3
CPP art 240 § 1º,CPP art. 240 § 1º,normalized,3
CPP art 282,CPP art. 282,normalized,3
CPP art 311,CPP art. 311,normalized,3
CPP art 316,CPP art. 316,normalized,3
CPP art 316 parágrafo único,CPP art. 316 § único,normalized,3
CPP art 367,CPP art. 367,normalized,3
CPP art 577,CPP art. 577,normalized,3
CPP art 578,CPP art. 578,normalized,3
CPP art 621,CPP art. 621,normalized,3
CPP art. 312,CPP art. 312,unchanged,3
CPP artigo 10,CPP art. 10,normalized,3
CPP artigo 157,CPP art. 157,normalized,3
CPP artigo 244,CPP art. 244,normalized,3
CPP artigo 400,CPP art. 400,normalized,3
CPP artigo 89,CPP art. 89,normalized,3
CTB art 134,CTB art. 134,normalized,3
CTN art 106 II c,CTN art. 106 inc. II al. c,normalized,3
CTN art 111 II,CTN art. 111 inc. II,normalized,3
CTN art 124 I,CTN art. 124 inc. I,normalized,3
CTN art 132,CTN art. 132,normalized,3
CTN art 151 III,CTN art. 151 inc. III,normalized,3
CTN art 151 VI,CTN art. 151 inc. VI,normalized,3
CTN art 186,CTN art. 186,normalized,3
CTN art 205,CTN art. 205,normalized,3
CTN artigo 185,CTN art. 185,normalized,3
Convenção 169 da OIT,Convenção 169 da OIT,unchanged,3
DL nº 11.795/2023,DL nº 11.795/2023,unchanged,3
DL nº 201 1967 Art 1º I,DL nº 201/1967 art. 1º I,normalized,3
DL nº 288 1967,DL nº 288/1967,normalized,3
DL nº 3.298/1999,DL nº 3.298/1999,unchanged,3
DL nº 3.365/1941 Art 20,DL nº 3.365/1941 art. 20,normalized,3
DL nº 37/1966,DL nº 37/1966,unchanged,3
DL nº 9.295 1946,DL nº 9.295/1946,normalized,3
Decreto 10.316/2020,Decreto nº 10.316/2020,normalized,3
Decreto 11.795/2023,Decreto nº 11.795/2023,normalized,3
Decreto 20.910/1932,Decreto nº 20.910/1932,normalized,3
Decreto 2172 1997,Decreto nº 2.172/1997,normalized,3
Decreto 3.788/2001,Decreto nº 3.788/2001,normalized,3
Decreto 4.887/2003,Decreto nº 4.887/2003,normalized,3
Decreto 53.831/1964,Decreto nº 53.831/1964,normalized,3
Decreto 53831 1964,Decreto nº 53.831/1964,normalized,3
Decreto 8.393/2015,Decreto nº 8.393/2015,normalized,3
Decreto 83.080/1979,Decreto nº 83.080/1979,normalized,3
Decreto 84.669/1980,Decreto nº 84.669/1980,normalized,3
EC 18 1981,EC 18/1981,normalized,3
EC 19 1998,EC 19/1998,normalized,3
EC 41/2003 art 7º,EC 41/2003 art. 7º,normalized,3
EC 47 2005 art 3º,EC 47/2005 art. 3º,normalized,3
EC 60 2009,EC 60/2009,normalized,3
ECA art 241 B,ECA art. 241-B,normalized,3
Emenda Constitucional 20/1998,EC 20/1998,normalized,3
IN 106 DG PF 2016,IN 106 DG PF 2016,unchanged,3
INSS,INSS,unchanged,3
LC 101 2000 art 25 § 3º,LC 101 2000 art. 25 § 3º,normalized,3
Lei 11.343 2006 art 33,Lei nº 11.343/2006 art. 33,normalized,3
Lei 11.343 2006 art 35,Lei nº 11.343/2006 art. 35,normalized,3
Lei 11.941/2009,Lei nº 11.941/2009,normalized,3
Lei 12.850 2013 art 2º,Lei nº 12.850/2013 art. 2º,normalized,3
Lei 13.445 2017,Lei nº 13.445/2017,normalized,3
Lei 13.457 2017,Lei nº 13.457/2017,normalized,3
Lei 13.465/2017,Lei nº 13.465/2017,normalized,3
Lei 13.530 2017,Lei nº 13.530/2017,normalized,3
Lei 13.964/2019,Lei nº 13.964/2019,normalized,3
Lei 14.112 2020,Lei nº 14.112/2020,normalized,3
Lei 3.765 1960,Lei nº 3.765/1960,normalized,3
Lei 6.830 1980,Lei nº 6.830/1980,normalized,3
Lei 6.880/1980,Lei nº 6.880/1980,normalized,3
Lei 7.492 1986 art 19 parágrafo único,Lei nº 7.492/1986 art. 19 § único,normalized,3
Lei 8.021 1990,Lei nº 8.021/1990,normalized,3
Lei 8.212/1991,Lei nº 8.212/1991,normalized,3
Lei 8.213 1991 Art 60 §§ 8º e 9º,Lei nº 8.213/1991 art. 60 § § 8º e 9º,normalized,3
Lei 8.213 1991 art 80,Lei nº 8.213/1991 art. 80,normalized,3
Lei 8.429 1992,Lei nº 8.429/1992,normalized,3
Lei 8.429 1992 Art 11,Lei nº 8.429/1992 art. 11,normalized,3
Lei 9.250/1995,Lei nº 9.250/1995,normalized,3
Lei 9.528/1997,Lei nº 9.528/1997,normalized,3
Lei 9.784 1999,Lei nº 9.784/1999,normalized,3
Lei 9.784/1999,Lei nº 9.784/1999,normalized,3
Lei Complementar 101/2000,LC nº 101/2000,normalized,3
Lei Complementar 105 2001,LC nº 105/2001,normalized,3
Lei Complementar 64 1990,LC nº 64/1990,normalized,3
Lei nº 10.259/2001 Art 3 § 1º,Lei nº 10.259/2001 art. 3º § 1º,normalized,3
Lei nº 10.259/2001 art 20,Lei nº 10.259/2001 art. 20,normalized,3
Lei nº 10.259/2001 art 3º,Lei nº 10.259/2001 art. 3º,normalized,3
Lei nº 10.406/2002 art 927,Lei nº 10.406/2002 art. 927,normalized,3
Lei nº 10.522/2002 art 26,Lei nº 10.522/2002 art. 26,normalized,3
Lei nº 10.698/2003,Lei nº 10.698/2003,unchanged,3
Lei nº 10.711/2003 art 41,Lei nº 10.711/2003 art. 41,normalized,3
Lei nº 10.826 2003,Lei nº 10.826/2003,normalized,3
Lei nº 10.833 2003,Lei nº 10.833/2003,normalized,3
Lei nº 11.343 2006 Art 33,Lei nº 11.343/2006 art. 33,normalized,3
Lei nº 11.343 2006 Art 40 I,Lei nº 11.343/2006 art. 40 inc. I,normalized,3
Lei nº 11.343/2006 art 33 § 4º,Lei nº 11.343/2006 art. 33 § 4º,normalized,3
Lei nº 11.343/2006 art 35,Lei nº 11.343/2006 art. 35,normalized,3
Lei nº 11.357/2006,Lei nº 11.357/2006,unchanged,3
Lei nº 11.358/2006,Lei nº 11.358/2006,unchanged,3
Lei nº 11.671 2008,Lei nº 11.671/2008,normalized,3
Lei nº 11.671/2008,Lei nº 11.671/2008,unchanged,3
Lei nº 11.907 2009,Lei nº 11.907/2009,normalized,3
Lei nº 11.907/2009,Lei nº 11.907/2009,unchanged,3
Lei nº 118/2005,Lei nº 118/2005,unchanged,3
Lei nº 12.514/2011 Art 8º,Lei nº 12.514/2011 art. 8º,normalized,3
Lei nº 12.711 2012,Lei nº 12.711/2012,normalized,3
Lei nº 12.772 2012,Lei nº 12.772/2012,normalized,3
Lei nº 12.850/2013 art 2º,Lei nº 12.850/2013 art. 2º,normalized,3
Lei nº 12.855 2013,Lei nº 12.855/2013,normalized,3
Lei nº 12.871 2013,Lei nº 12.871/2013,normalized,3
Lei nº 13.344/2016,Lei nº 13.344/2016,unchanged,3
