page_id,numero_processo,informativo,classe_before,classe_after,subramo_before,subramo_after,updated_properties,error,page_url
30d72195-5c64-8179-910d-f9e7648b54b6,1002951-32.2022.4.01.4100,672,,PetCrim,"Execução Penal, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""2a0a8d4a-c1f8-4d3b-8b58-38fe9e82b230""}",https://www.notion.so/Inadmissibilidade-de-agravo-em-execu-o-para-requisi-o-de-informa-es-a-rg-os-externos-e-validade--30d721955c648179910df9e7648b54b6
30d72195-5c64-817b-b5ec-f855527d4630,1014937-90.2024.4.01.0000,736,,AgInt,"Direito Administrativo Contratual, Direito Regulatório",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""0a92db23-04e0-486c-b9ab-28e53e54015c""}",https://www.notion.so/Validade-da-proibi-o-da-cobran-a-de-tarifa-Export-Logistic-Free-sem-vincula-o-a-servi-o-portu-rio--30d721955c64817bb5ecf855527d4630
30d72195-5c64-8183-a663-d1d227281fae,1011422-47.2024.4.01.0000,735,,MSCrim,"Direito Penal Comum, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""6640d719-2275-475b-8da1-d5f437bbf021""}",https://www.notion.so/Aplica-o-do-Marco-Civil-da-Internet-para-autoriza-o-judicial-de-quebra-de-sigilo-telem-tico-e-exig-30d721955c648183a663d1d227281fae
30d72195-5c64-8183-b103-e22d1c4cb90e,1025050-40.2023.4.01.0000,685,,AgInt,"Processo Civil, Seguridade Social",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""a6ce4881-dec4-4e2b-bf03-feda4d14f354""}",https://www.notion.so/Tutela-recursal-em-complementa-o-de-benef-cio-previdenci-rio-de-ex-ferrovi-rio-com-aplica-o-das-AD-30d721955c648183b103e22d1c4cb90e
30d72195-5c64-819a-9f11-eaf04e00c2ff,1003259-44.2025.4.01.0000,755,,EDCiv,"Direito Processual Civil, Direito Público",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""cb13e85c-993d-4001-91f2-54e2f52e57ef""}",https://www.notion.so/Admissibilidade-do-Estado-de-S-o-Paulo-como-assistente-simples-em-a-o-envolvendo-interesses-jur-dic-30d721955c64819a9f11eaf04e00c2ff
30d72195-5c64-819c-a9e7-d81470354e4c,1020838-10.2022.4.01.0000,735,,MSCrim,"Direito Penal Empresarial, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""8709b93c-3354-402d-859a-6354c795b287""}",https://www.notion.so/Efeito-do-saneamento-societ-rio-pela-retirada-de-s-cio-investigado-sobre-afastamento-de-medida-caute-30d721955c64819ca9e7d81470354e4c
30d72195-5c64-819d-8cd7-e1a751eda077,1033865-89.2024.4.01.0000,751,,ETCrim,"Direito Penal Comum, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""f26dd129-9a69-41f1-a828-8b37cf156b73""}",https://www.notion.so/Compet-ncia-para-incidentes-de-restitui-o-e-embargos-de-terceiro-envolvendo-aeronave-sujeita-a-alie-30d721955c64819d8cd7e1a751eda077
30d72195-5c64-819d-a458-cbb8cc17bc2a,1032337-54.2023.4.01.0000,759,,EDCiv,Processo Civil,"Processo de Execução, Execução Fiscal e de Sentença","classe, subramo_do_direito","http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""1bc977a7-5997-43da-9443-efbfed331d79""}",https://www.notion.so/Homologa-o-de-c-lculos-pela-contadoria-em-valor-superior-ao-da-exequente-e-controv-rsia-sobre-confi-30d721955c64819da458cbb8cc17bc2a
30d72195-5c64-81a0-ab6a-da90aa24a39e,0025013-06.2018.4.01.0000,680,,PICMP,"Direito Constitucional, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""be325d47-ea5b-4bc4-8065-28fc5f0d24f8""}",https://www.notion.so/Compet-ncia-por-prerrogativa-de-fun-o-do-prefeito-e-controv-rsia-sobre-prorroga-o-quando-den-ncia--30d721955c6481a0ab6ada90aa24a39e
30d72195-5c64-81a3-ac6f-ce4e10bd32bf,1041211-91.2024.4.01.0000,734,,AgRegHC,"Execução Penal, Processo Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""b04381cb-3774-4be0-a11c-66691b0385ab""}",https://www.notion.so/Superveni-ncia-de-senten-a-penal-condenat-ria-como-novo-t-tulo-judicial-e-preju-zo-do-habeas-corpus--30d721955c6481a3ac6fce4e10bd32bf
30d72195-5c64-81a7-a4f2-fc54f90ee447,1012229-37.2019.4.01.3300,696,,ReeNecCrim,"Direito Migratório, Direitos Humanos",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""826c67d6-e137-4abc-aeb8-16c911b96509""}",https://www.notion.so/Expuls-o-administrativa-de-estrangeiro-condenado-e-limites-do-controle-judicial-sobre-legalidade-for-30d721955c6481a7a4f2fc54f90ee447
30d72195-5c64-81a8-8422-c3ac32380ee7,0053803-53.2016.4.01.3400,723,,AgIntREsp,"Direito Militar, Servidor Público",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""b615e5b3-c375-4059-902a-b5b2ad2e1bf8""}",https://www.notion.so/Aplica-o-aos-militares-da-prescri-o-quinquenal-para-convers-o-em-pec-nia-de-licen-a-pr-mio-com-te-30d721955c6481a88422c3ac32380ee7
30d72195-5c64-81aa-81cb-cd13f59653ac,1003490-95.2022.4.01.4100,660,,AgExPenal,"Direito Processual Penal, Execução Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""66d842a5-2c66-4272-bfdc-b53eb86c4472""}",https://www.notion.so/Dispensabilidade-da-audi-ncia-de-justifica-o-perante-o-ju-zo-de-execu-o-quando-o-procedimento-admi-30d721955c6481aa81cbcd13f59653ac
30d72195-5c64-81aa-aaab-c8b80ae35a59,1014616-45.2022.4.01.4100,660,,AgExPenal,"Direito Penitenciário, Direito Processual Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""55304092-3dbe-41ba-8041-3dd5b358f180""}",https://www.notion.so/Compet-ncia-para-revisar-renova-o-de-prazo-de-perman-ncia-de-preso-transferido-e-exig-ncia-de-decla-30d721955c6481aaaaabc8b80ae35a59
30d72195-5c64-81ae-ae62-f1c8fcf79332,1018375-95.2022.4.01.0000,736,,AgInt,"Direito Administrativo, Processo Civil",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""c7214941-1f6c-46ad-baba-8c67362d2424""}",https://www.notion.so/A-o-possess-ria-sobre-terreno-de-marinha-e-controv-rsia-acerca-da-efic-cia-da-revoga-o-administrat-30d721955c6481aeae62f1c8fcf79332
30d72195-5c64-81b1-b5b4-cad8ff4a02b7,1023102-87.2019.4.01.3400,720,,AgInt,"Direito Administrativo Disciplinar, Direito Previdenciário",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""08029961-891c-4b1e-9fd2-87730ea24d06""}",https://www.notion.so/Aplica-o-da-paridade-prevista-na-Lei-6-903-1981-para-ju-zes-classistas-tempor-rios-aposentados-e-ex-30d721955c6481b1b5b4cad8ff4a02b7
30d72195-5c64-81b7-9b2f-dca5f1104fd7,1003632-96.2022.4.01.4101,685,,PetCrim,"Direito Penal Internacional, Direito Processual Penal",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""4027089f-e6cc-4e1c-96d9-e631e7a6e0e5""}",https://www.notion.so/Compet-ncia-para-execu-o-de-pena-estrangeira-conflito-entre-ju-zo-federal-respons-vel-pela-transfe-30d721955c6481b79b2fdca5f1104fd7
30d72195-5c64-81b8-ba3b-cdc2897c7067,1019449-52.2020.4.01.3300,699,,AgInt,"Direito Administrativo, Direito Constitucional",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""2adace02-f622-408e-8521-cc71209f6a3d""}",https://www.notion.so/Legitimidade-exclusiva-do-Banco-do-Brasil-para-figurar-no-polo-passivo-de-demandas-sobre-recomposi--30d721955c6481b8ba3bcdc2897c7067
30d72195-5c64-81ba-8ab8-f764a69a40e3,1032288-18.2020.4.01.0000,754,,ETciv,"Direito Processual Civil, Direito de Família",,classe,"http_400: {""object"":""error"",""status"":400,""code"":""validation_error"",""message"":""Your database schema has exceeded the maximum size."",""request_id"":""1cbab157-dd69-43ec-9dba-e418c51c66d8""}",https://www.notion.so/Copropriedade-decorrente-de-partilha-em-div-rcio-e-direito-preserva-o-proporcional-da-mea-o-dian-30d721955c6481ba8ab8f764a69a40e3
