before,after,rows
"Lei 13.846 2019, Lei 8.213 1991 art 15 inciso IV","Lei nº 13.846/2019, Lei nº 8.213/1991 art. 15 inc. IV",1
"Lei 13.846 2019, Lei 8.213 1991 art 25, Lei 8.213 1991 art 80, MP 871 2019","Lei nº 13.846/2019, Lei nº 8.213/1991 art. 25, Lei nº 8.213/1991 art. 80, MP nº 871/2019",1
"Lei 13.846/2019, Lei 6.001/1973 art 12, Lei 6.001/1973 art 13","Lei nº 13.846/2019, Lei nº 6.001/1973 art. 12, Lei nº 6.001/1973 art. 13",1
"Lei 13.869 2019 art 36, Lei 6.830 1980 art 10, Lei 6.830 1980 art 11","Lei nº 13.869/2019 art. 36, Lei nº 6.830/1980 art. 10, Lei nº 6.830/1980 art. 11",1
"Lei 13.876 2019 art 3º, Lei 5.010 1966 art 15 inciso III, Portaria Presi 411 2021, Portaria TRF1 Presi 9507568 2019","Lei nº 13.876/2019 art. 3º, Lei nº 5.010/1966 art. 15 inc. III, Portaria Presi 411 2021, Portaria TRF1 Presi 9507568 2019",1
"Lei 13.876/2019, Lei 5.010/1966, Portaria TRF Presi 9507568/2019, Resolução 603/2019 do Conselho da Justiça Federal","Lei nº 13.876/2019, Lei nº 5.010/1966, Portaria TRF Presi 9507568/2019, Resolução 603/2019 do Conselho da Justiça Federal",1
"Lei 13.945 de 2019, Lei 13.954/2019, Lei 4.375/1964 artigo 31 §§ 6º a 8º","Lei nº 13.945 de 2019, Lei nº 13.954/2019, Lei nº 4.375/1964 art. 31 § § 6º a 8º",1
"Lei 13.954 2019, Lei 4.375 1964, art 27 inciso II § 1º Lei 4.375 1964","Lei nº 13.954/2019, Lei nº 4.375/1964, art. 27 inc. II § 1º Lei nº 4.375/1964",1
"Lei 13.954 2019, Lei 6.880 1980 art 108 inciso IV","Lei nº 13.954/2019, Lei nº 6.880/1980 art. 108 inc. IV",1
"Lei 13.954 2019, Lei 6.880 1980, Lei 8.069 1990 art 33 § 3º","Lei nº 13.954/2019, Lei nº 6.880/1980, Lei nº 8.069/1990 art. 33 § 3º",1
"Lei 13.954/2019, Lei 9.649/1998 art. 1º, Portaria C EX 1.443/2021 art. 4º III e","Lei nº 13.954/2019, Lei nº 9.649/1998 art. 1º, Portaria C EX 1.443/2021 art. 4º III e",1
"Lei 13.954/2019, Lei nº 6.880/1980 art. 106 II, Lei nº 6.880/1980 art. 108 V, Lei nº 6.880/1980 art. 109, Lei nº 7.670/1988 art. 1º I c","Lei nº 13.954/2019, Lei nº 6.880/1980 art. 106 inc. II, Lei nº 6.880/1980 art. 108 inc. V, Lei nº 6.880/1980 art. 109, Lei nº 7.670/1988 art. 1º I c",1
"Lei 13.982/2020 art 2º VI, Lei nº 8.213/1991 Art 15 II, Lei nº 8.213/1991 art 15 §2º","Lei nº 13.982/2020 art. 2º VI, Lei nº 8.213/1991 art. 15 inc. II, Lei nº 8.213/1991 art. 15 § 2º",1
"Lei 14.112 2020, Lei 6.830 1980 art 5º","Lei nº 14.112/2020, Lei nº 6.830/1980 art. 5º",1
"Lei 14.151 2021 art 1º, Lei 8.213 1991 art 72 § 1º, Lei nº 14.311 2022 § 1º","Lei nº 14.151/2021 art. 1º, Lei nº 8.213/1991 art. 72 § 1º, Lei nº 14.311/2022 § 1º",1
"Lei 14.151/2021, Lei nº 8.213/1991 art 72 § 1º, RITRF art 8º § 6º","Lei nº 14.151/2021, Lei nº 8.213/1991 art. 72 § 1º, RITRF art. 8º § 6º",1
"Lei 14.195 2021, art 1015 parágrafo único do CC","Lei nº 14.195/2021, art. 1015 § único do CC",1
"Lei 14.230 2021 art 23 B, Lei 7.347 1985 art 18, Lei 8.429 1992 paragrafo 2o","Lei nº 14.230/2021 art. 23-B, Lei nº 7.347/1985 art. 18, Lei nº 8.429/1992 § 2º",1
"Lei 14.230 2021, Lei 8.429 1992 art 9º XI, Lei 8.429 1992 art 9º XII, Lei 8.429 1992 arts 9º 10 11","Lei nº 14.230/2021, Lei nº 8.429/1992 art. 9º XI, Lei nº 8.429/1992 art. 9º XII, Lei nº 8.429/1992 art. 9º 10 11",1
"Lei 14.230/2021, Lei 8.009/1990 art 1º, Lei 8.429/1992 art 16 § 14","Lei nº 14.230/2021, Lei nº 8.009/1990 art. 1º, Lei nº 8.429/1992 art. 16 § 14",1
"Lei 14.230/2021, Lei 8.429/1992 Art 9, Lei 8.429/1992 art 10, Lei 8.429/1992 art 11","Lei nº 14.230/2021, Lei nº 8.429/1992 art. 9º, Lei nº 8.429/1992 art. 10, Lei nº 8.429/1992 art. 11",1
"Lei 14.230/2021, Lei 8.429/1992 art 11 XI, Lei 8.429/1992 art 11 caput, Lei 8.429/1992 art 17 §10 F","Lei nº 14.230/2021, Lei nº 8.429/1992 art. 11 inc. XI, Lei nº 8.429/1992 art. 11 caput, Lei nº 8.429/1992 art. 17 § 10 F",1
"Lei 14.230/2021, Lei 8.429/1992 art 17, Lei 8.429/1992 art 1º","Lei nº 14.230/2021, Lei nº 8.429/1992 art. 17, Lei nº 8.429/1992 art. 1º",1
"Lei 14.292/2022, Lei 9.478/1997 art 68-A § 2º inciso II","Lei nº 14.292/2022, Lei nº 9.478/1997 art. 68-A § 2º inc. II",1
"Lei 14.441 2022, Lei 8.213 1991 art 86, Lei 8213 1991 art 86","Lei nº 14.441/2022, Lei nº 8.213/1991 art. 86",1
"Lei 14.441/2022, Lei nº 8.213/1991 art 101","Lei nº 14.441/2022, Lei nº 8.213/1991 art. 101",1
"Lei 14.600 2023, Lei 9.007 1995, MP 1154 2023","Lei nº 14.600/2023, Lei nº 9.007/1995, MP nº 1154/2023",1
"Lei 14.601/2023, MDS 911/2023, Portaria MDS 911/2023, art 6º § 3º da Portaria MDS 911/2023","Lei nº 14.601/2023, MDS 911/2023, Portaria MDS 911/2023, art. 6º § 3º da Portaria MDS 911/2023",1
"Lei 14.967 2024 art 28 V, Lei 7.102 1983 art 16 VI, Portaria 3.233 2012 DG DP","Lei nº 14.967/2024 art. 28 inc. V, Lei nº 7.102/1983 art. 16 inc. VI, Portaria 3.233 2012 DG DP",1
"Lei 15.108/2025, Lei 8.186/1991, Lei 8.213/1991","Lei nº 15.108/2025, Lei nº 8.186/1991, Lei nº 8.213/1991",1
"Lei 15.141/2025, Lei nº 12.772/2012 art 13","Lei nº 15.141/2025, Lei nº 12.772/2012 art. 13",1
"Lei 3.765/1960, Lei 4.242/1963, Lei 4.242/1963 art 30","Lei nº 3.765/1960, Lei nº 4.242/1963, Lei nº 4.242/1963 art. 30",1
"Lei 3917 1961, Lei 8112 1990 art 243, Lei 8829 1993 art 1o, PGPE","Lei nº 3.917/1961, Lei nº 8.112/1990 art. 243, Lei nº 8.829/1993 art. 1º, PGPE",1
"Lei 4.024/1961, Lei nº 9.131/1995, art 2º da Lei nº 9.131/1995, art 6º da Lei 4.024/1961, art 7º da Lei 4.024/1961, art 8º da Lei 4.024/1961, art 9º da Lei 4.024/1961, parágrafo único do art 2º da Lei nº 9.131/1995, § 2º do art 9º da Lei 4.024/1961","Lei nº 4.024/1961, Lei nº 9.131/1995, art. 2º da Lei nº 9.131/1995, art. 6º da Lei 4.024/1961, art. 7º da Lei 4.024/1961, art. 8º da Lei 4.024/1961, art. 9º da Lei 4.024/1961",1
"Lei 4.242/1963 art 30, Lei nº 3.765/1960, Lei nº 4.242/1963, Lei nº 5.315/1967","Lei nº 4.242/1963 art. 30, Lei nº 3.765/1960, Lei nº 4.242/1963, Lei nº 5.315/1967",1
"Lei 4.320 1964 Art 39, Lei 4.320 1964 Art 39 § 4º, Lei 6.830 1980 Art 2º, Lei 6.830 1980 Art 2º § 1º, Lei 8.981 1995 Art 84 § 8º, MP 2.196-3 2001","Lei nº 4.320/1964 art. 39, Lei nº 4.320/1964 art. 39 § 4º, Lei nº 6.830/1980 art. 2º, Lei nº 6.830/1980 art. 2º § 1º, Lei nº 8.981/1995 art. 84 § 8º, MP nº 2.196-3/2001",1
"Lei 4.375 1964 art 27, Lei 4.375 1964 art 5º, Lei nº 13.954/2019","Lei nº 4.375/1964 art. 27, Lei nº 4.375/1964 art. 5º, Lei nº 13.954/2019",1
"Lei 4.375 1964, Lei 6.880 1980 art 134 § 2º, Lei 6.880 1980 art 3º, Lei 6.880 1980 art 8º","Lei nº 4.375/1964, Lei nº 6.880/1980 art. 134 § 2º, Lei nº 6.880/1980 art. 3º, Lei nº 6.880/1980 art. 8º",1
"Lei 4.375/1964 art 31 § 5º, Lei 4.375/1964 art 33, Lei 4.375/1964 art 6º","Lei nº 4.375/1964 art. 31 § 5º, Lei nº 4.375/1964 art. 33, Lei nº 4.375/1964 art. 6º",1
Lei 4.380/1964,Lei nº 4.380/1964,1
"Lei 4.591/1964, Lei 8.025/1990 Art 15 Inciso I alínea c","Lei nº 4.591/1964, Lei nº 8.025/1990 art. 15 inc. I al. c",1
"Lei 4.591/1964, Lei 8.025/1990 Art 15 inciso I letra c","Lei nº 4.591/1964, Lei nº 8.025/1990 art. 15 inc. I letra c",1
"Lei 4.717/1965 Art 6, Lei 8.625/1993 Art 45, Portaria 98/2019 PGJ, Resolução CNJ 72/2009 Art 6, Resolução CNMP 160/2017 Art 1","Lei nº 4.717/1965 art. 6º, Lei nº 8.625/1993 art. 45, Portaria 98/2019 PGJ, Resolução CNJ 72/2009 art. 6º, Resolução CNMP 160/2017 art. 1º",1
"Lei 4.878 1965 art 43 inciso XIII, Lei 8.112 1990 art 117 inciso X","Lei nº 4.878/1965 art. 43 inc. XIII, Lei nº 8.112/1990 art. 117 inc. X",1
"Lei 444/1937, Lei 5.802/1972, Lei nº 11.784/2008","Lei nº 444/1937, Lei nº 5.802/1972, Lei nº 11.784/2008",1
Lei 5.741/1971 artigo 9º,Lei nº 5.741/1971 art. 9º,1
"Lei 5.991/1973, Lei 9.782/1999, Resolução Anvisa 95/2011","Lei nº 5.991/1973, Lei nº 9.782/1999, Resolução Anvisa 95/2011",1
"Lei 6.179/1974 art 7º § 2º, Lei 8.213/1991 art 16 I, Lei 8.213/1991 art 16 § 4º, Lei 8.213/1991 art 74","Lei nº 6.179/1974 art. 7º § 2º, Lei nº 8.213/1991 art. 16 inc. I, Lei nº 8.213/1991 art. 16 § 4º, Lei nº 8.213/1991 art. 74",1
"Lei 6.179/1974, Lei 8.742/1993 art 20","Lei nº 6.179/1974, Lei nº 8.742/1993 art. 20",1
Lei 6.194/1974,Lei nº 6.194/1974,1
"Lei 6.367 1976 Art 9, Lei 8.213 1991 Art 31, Lei 9.528 1997 Art 86 §§ 2º 3º, Lei 9.876 1999 Art 3º § 2º","Lei nº 6.367/1976 art. 9º, Lei nº 8.213/1991 art. 31, Lei nº 9.528/1997 art. 86 § § 2º 3º, Lei nº 9.876/1999 art. 3º § 2º",1
Lei 6.538/1978,Lei nº 6.538/1978,1
"Lei 6.830 1980, Lei 9.532 1997 Art 64, Lei 9.532 1997 Art 64 §8º, Lei 9.532 1997 Art 64 §9º","Lei nº 6.830/1980, Lei nº 9.532/1997 art. 64, Lei nº 9.532/1997 art. 64 § 8º, Lei nº 9.532/1997 art. 64 § 9º",1
"Lei 6.830/1980, Lei 7.565/1986 Código Brasileiro de Aeronáutica","Lei nº 6.830/1980, Lei nº 7.565/1986 Código Brasileiro de Aeronáutica",1
"Lei 6.838 1981 art 17 B, Lei 6.938 1981 anexo VIII, Lei 9.638 1981","Lei nº 6.838/1981 art. 17-B, Lei nº 6.938/1981 anexo VIII, Lei nº 9.638/1981",1
"Lei 6.880/1980 art 82 XII, Lei 7.963/1989","Lei nº 6.880/1980 art. 82 inc. XII, Lei nº 7.963/1989",1
Lei 6.938 1981 art 8º VII,Lei nº 6.938/1981 art. 8º VII,1
"Lei 7.347 1985 art. 2º, Lei da Ação Civil Pública 7.347 1985 art. 2º","Lei nº 7.347/1985 art. 2º, Lei da Ação Civil Pública 7.347 1985 art. 2º",1
"Lei 7.347/1985 art 14, Lei 8.429/1992 art 20","Lei nº 7.347/1985 art. 14, Lei nº 8.429/1992 art. 20",1
"Lei 7.347/1985 art 2º, Lei 8.429/1992 art 10, Lei 8.429/1992 art 11, Lei 8.429/1992 art 9º","Lei nº 7.347/1985 art. 2º, Lei nº 8.429/1992 art. 10, Lei nº 8.429/1992 art. 11, Lei nº 8.429/1992 art. 9º",1
"Lei 7.394 1985, Lei 9.784 1999, art 54 Lei 9.784 1999","Lei nº 7.394/1985, Lei nº 9.784/1999, art. 54 Lei nº 9.784/1999",1
"Lei 7.492 1986 art 19 caput, Lei 7.492 1986 art 19 parágrafo único","Lei nº 7.492/1986 art. 19 caput, Lei nº 7.492/1986 art. 19 § único",1
"Lei 7.492 1986 art 19 parágrafo único, Lei 7.492 1986 art 20, Lei 8.137 1990 art 2º IV","Lei nº 7.492/1986 art. 19 § único, Lei nº 7.492/1986 art. 20, Lei nº 8.137/1990 art. 2º IV",1
"Lei 7.603/2001, Lei Estadual 11.077/2020, Lei Federal 8.620/1993, Resolução 168/2011","Lei nº 7.603/2001, Lei Estadual. 11.077/2020, Lei Federal. 8.620/1993, Resolução 168/2011",1
"Lei 7.713 1988 art 6º VII b, Lei 9.250 1995","Lei nº 7.713/1988 art. 6º VII b, Lei nº 9.250/1995",1
"Lei 8.009 1990 Art 3 inciso V, Lei nº 9.514 1997","Lei nº 8.009/1990 art. 3º inc. V, Lei nº 9.514/1997",1
"Lei 8.009 1990 Art 3º V, Lei 9.514 1997 Art 26 § 3º, Lei 9.514 1997 Art 26 § 4º","Lei nº 8.009/1990 art. 3º V, Lei nº 9.514/1997 art. 26 § 3º, Lei nº 9.514/1997 art. 26 § 4º",1
"Lei 8.009 1990, Lei 9.656 1998 art 24 A, Lei 9.656 1998 art 24 A § 4º","Lei nº 8.009/1990, Lei nº 9.656/1998 art. 24-A, Lei nº 9.656/1998 art. 24-A § 4º",1
"Lei 8.069/1990 art 33 §3º, Lei 9.528/1997, MP 1.523/1996","Lei nº 8.069/1990 art. 33 § 3º, Lei nº 9.528/1997, MP nº 1.523/1996",1
"Lei 8.0691990 art 33 §3º, Lei 9.5281997","Lei nº 8.069/1990 art. 33 § 3º, Lei nº 9.528/1997",1
"Lei 8.078 1990 art. 31, Portaria 81 2002 art. 1º","Lei nº 8.078/1990 art. 31, Portaria 81 2002 art. 1º",1
"Lei 8.078 31, Lei 8.078 37, Lei 8.078 4º, Lei 8.078 6º","Lei nº 8.078 31, Lei nº 8.078 37, Lei nº 8.078 4º, Lei nº 8.078 6º",1
Lei 8.112 1990 Art 110 Inciso I,Lei nº 8.112/1990 art. 110 inc. I,1
Lei 8.112 1990 art 142 §2º,Lei nº 8.112/1990 art. 142 § 2º,1
"Lei 8.112 1990 art 37, Lei 9.784 1999 art 2º, Lei 9.784 1999 art 50","Lei nº 8.112/1990 art. 37, Lei nº 9.784/1999 art. 2º, Lei nº 9.784/1999 art. 50",1
"Lei 8.112 1990 art 86 § 2, Lei Complementar 64 1990","Lei nº 8.112/1990 art. 86 § 2º, LC nº 64/1990",1
"Lei 8.112 1990 art. 102 IV, Lei 8.112 1990 art. 102 VIII","Lei nº 8.112/1990 art. 102 inc. IV, Lei nº 8.112/1990 art. 102 inc. VIII",1
"Lei 8.112 1990 artigo 62, Lei 8.911 1994, Lei 9.527 1997","Lei nº 8.112/1990 art. 62, Lei nº 8.911/1994, Lei nº 9.527/1997",1
Lei 8.112 217 IV,Lei nº 8.112 217 IV,1
"Lei 8.112 217, Lei nº 13.145 2015, Lei nº 13.846 2019","Lei nº 8.112 217, Lei nº 13.145/2015, Lei nº 13.846/2019",1
"Lei 8.112/1990 art 68 § 2º, Lei 8.270/1991 art 12 I","Lei nº 8.112/1990 art. 68 § 2º, Lei nº 8.270/1991 art. 12 inc. I",1
"Lei 8.112/1990 art. 186 § 1º, Lei 8.112/1990 art. 190","Lei nº 8.112/1990 art. 186 § 1º, Lei nº 8.112/1990 art. 190",1
Lei 8.112/1990 § 2º do art. 46,Lei nº 8.112/1990 § 2º do art. 46,1
Lei 8.137 1990 Art 1º I,Lei nº 8.137/1990 art. 1º I,1
"Lei 8.212 1991 art 28 §2º, Lei 8.212 1991 parágrafo 9º alínea a","Lei nº 8.212/1991 art. 28 § 2º, Lei nº 8.212/1991 § 9º al. a",1
"Lei 8.213 101 I, Lei 8.213 43, Lei 8.213 43 § 4º","Lei nº 8.213 101 I, Lei nº 8.213 43, Lei nº 8.213 43 § 4º",1
"Lei 8.213 1991 art 103 A, Lei 9.784 1999","Lei nº 8.213/1991 art. 103-A, Lei nº 9.784/1999",1
"Lei 8.213 1991 art 115 inciso II, Lei 8.213 1991 art 115 parágrafo único","Lei nº 8.213/1991 art. 115 inc. II, Lei nº 8.213/1991 art. 115 § único",1
"Lei 8.213 1991 art 15 §1º, Lei 8.213 1991 art 15 §2º, Lei 8.213 1991 art 16","Lei nº 8.213/1991 art. 15 § 1º, Lei nº 8.213/1991 art. 15 § 2º, Lei nº 8.213/1991 art. 16",1
"Lei 8.213 1991 art 32, Lei 9.876 1999","Lei nº 8.213/1991 art. 32, Lei nº 9.876/1999",1
"Lei 8.213 1991 art 80, MP 871 2019","Lei nº 8.213/1991 art. 80, MP nº 871/2019",1
Lei 8.213/1991 Art 48 § 3º,Lei nº 8.213/1991 art. 48 § 3º,1
Lei 8.213/1991 art 47,Lei nº 8.213/1991 art. 47,1
Lei 8.213/1991 art 55 § 3º,Lei nº 8.213/1991 art. 55 § 3º,1
Lei 8.2131991 Art 48 § 3º,Lei nº 8.213/1991 art. 48 § 3º,1
"Lei 8.429 1992 art 11 inciso II, Lei 8.429 1992 art 11 inciso VI","Lei nº 8.429/1992 art. 11 inc. II, Lei nº 8.429/1992 art. 11 inc. VI",1
"Lei 8.429 1992 art 2º, Lei 9.790 1999 art 3º","Lei nº 8.429/1992 art. 2º, Lei nº 9.790/1999 art. 3º",1
"Lei 8.429 1992 art 8º, Lei 8.429 1992 art 9º inciso XI","Lei nº 8.429/1992 art. 8º, Lei nº 8.429/1992 art. 9º inc. XI",1
"Lei 8.666 1993 art 13 inciso V, Lei 8.666 1993 art 25 inciso II, Lei 8.666 1993 art 25 par 1","Lei nº 8.666/1993 art. 13 inc. V, Lei nº 8.666/1993 art. 25 inc. II, Lei nº 8.666/1993 art. 25 par 1",1
Lei 8.666/1993 art. 38 parágrafo único,Lei nº 8.666/1993 art. 38 § único,1
"Lei 8.666/1993, Lei 8.666/1993 art 10 inciso II letra d","Lei nº 8.666/1993, Lei nº 8.666/1993 art. 10 inc. II letra d",1
"Lei 8.6661993 art 55 XIII, Lei nº 12.8462013 art 5º III, Lei nº 12.8462013 art 5º IV, Lei nº 12.8462013 art 5º d, Lei nº 12.8462013 art 6º II","Lei nº 8.666/1993 art. 55 inc. XIII, Lei nº 12.846/2013 art. 5º III, Lei nº 12.846/2013 art. 5º IV, Lei nº 12.846/2013 art. 5º d, Lei nº 12.846/2013 art. 6º II",1
Lei 8.989/95,Lei nº 8.989/1995,1
"Lei 8460 1992 Art 22 § 2º, Lei nº 8.112 1990 Art 46","Lei nº 8.460/1992 art. 22 § 2º, Lei nº 8.112/1990 art. 46",1
"Lei 9.138 1995, MP 2.196-3 2001","Lei nº 9.138/1995, MP nº 2.196-3/2001",1
Lei 9.249/1995,Lei nº 9.249/1995,1
"Lei 9.249/1995 arts 15 III a e 20, Lei 9.716/1998 art 5º","Lei nº 9.249/1995 art. 15 inc. III al. a e 20, Lei nº 9.716/1998 art. 5º",1
"Lei 9.250 1995 art 39 § 4º, Lei 9.998 2000 art 6 parágrafo único","Lei nº 9.250/1995 art. 39 § 4º, Lei nº 9.998/2000 art. 6º § único",1
"Lei 9.250/1995, Lei 9.532/1997 art 11, Lei Complementar 109/2001, Lei nº 7.713/1988 art 8 II e","Lei nº 9.250/1995, Lei nº 9.532/1997 art. 11, LC nº 109/2001, Lei nº 7.713/1988 art. 8º inc. II al. e",1
Lei 9.393/1996 art 10 §6º I,Lei nº 9.393/1996 art. 10 § 6º inc. I,1
"Lei 9.394 1996 art 47 § 2º, Portaria MEC 383 2021, Resolução CNE CES 3 2014","Lei nº 9.394/1996 art. 47 § 2º, Portaria MEC 383 2021, Resolução CNE CES 3 2014",1
"Lei 9.394 1996 art 48, Portaria Interministerial 278 2011","Lei nº 9.394/1996 art. 48, Portaria Interministerial. 278 2011",1
"Lei 9.394 1996 art 49, Lei 9.536 1997","Lei nº 9.394/1996 art. 49, Lei nº 9.536/1997",1
"Lei 9.503 1997 art 21 inciso VI, Resolução ANTT 3.665 2011 art 49, Resolução ANTT 3.665 2011 art 51 parágrafo 1º","Lei nº 9.503/1997 art. 21 inc. VI, Resolução ANTT 3.665 2011 art. 49, Resolução ANTT 3.665 2011 art. 51 § 1º",1
Lei 9.514/1997,Lei nº 9.514/1997,1
Lei 9.532/1997,Lei nº 9.532/1997,1
"Lei 9.654 1998 art 7º, Lei nº 9.654 1998 Art 7º, Lei nº 9654 1998 Art 7",Lei nº 9.654/1998 art. 7º,1
Lei 9.784 1999 art 29 § 2º,Lei nº 9.784/1999 art. 29 § 2º,1
"Lei 9.870 1999 art 5º, Lei 9.870 1999 art 6º","Lei nº 9.870/1999 art. 5º, Lei nº 9.870/1999 art. 6º",1
"Lei 9469 1997, Lei Complementar 76 1993","Lei nº 9.469/1997, LC nº 76/1993",1
"Lei Complementar 105 2001 art 1º III, Lei Complementar 105 2001 art 1º § 3º IV","LC nº 105/2001 art. 1º III, LC nº 105/2001 art. 1º § 3º inc. IV",1
"Lei Complementar 105/2001 art 1o § 4o, Lei nº 12.965/2014 art 22, Lei nº 13.812/2019 art 10, Lei nº 13.812/2019 art 2o I","LC nº 105/2001 art. 1º § 4º, Lei nº 12.965/2014 art. 22, Lei nº 13.812/2019 art. 10, Lei nº 13.812/2019 art. 2º I",1
Lei Complementar 123 2006,LC nº 123/2006,1
"Lei Complementar 1232006 art 55, Lei Complementar 1232006 parágrafo 1º","LC nº 123.200 6 art. 55, LC nº 123.200 6 § 1º",1
"Lei Complementar 131 2009, Lei nº 12.527 2011","LC nº 131/2009, Lei nº 12.527/2011",1
Lei Complementar 20 2003 art 3º,LC nº 20/2003 art. 3º,1
"Lei Complementar 64 1990, Lei nº 8.112 1990","LC nº 64/1990, Lei nº 8.112/1990",1
"Lei Complementar 64/1990, Lei nº 8.429/1992 art 20","LC nº 64/1990, Lei nº 8.429/1992 art. 20",1
"Lei Complementar 75 1993, Portaria PGR 484 2006, Portaria PGR MPU 71 2017","LC nº 75/1993, Portaria PGR 484 2006, Portaria PGR MPU 71 2017",1
"Lei Distrital 963 1995, Lei Federal 12.328 2010","Lei Distrital. 963 1995, Lei Federal. 12.328 2010",1
"Lei Municipal 7.186/2006, art 163 IV da Lei Municipal 7.186/2006","Lei Municipal. 7.186/2006, art. 163 inc. IV da Lei Municipal. 7.186/2006",1
"Lei n. 9.503/1997 Art 22, Portaria 238 2014, Portaria 397 2018, Portaria 754 2017","Lei nº 9.503/1997 art. 22, Portaria 238 2014, Portaria 397 2018, Portaria 754 2017",1
"Lei n1 3.820/1960 art 24, Lei n1 5.724/1972 art 1, Lei n1 5.991/1973 art 15","Lei nº 1 3.820/1960 art. 24, Lei nº 1 5.724/1972 art. 1º, Lei nº 1 5.991/1973 art. 15",1
"Lei nº 1.521/166, MP 1.96317/2000","Lei nº 1.521/166, MP nº 1.963 17/2000",1
"Lei nº 10.098 2000 art 11 II, Lei nº 13.146 2015 art 28 XVI, Lei nº 13.146 2015 art 3 I, Lei nº 13.146 2015 art 56","Lei nº 10.098/2000 art. 11 inc. II, Lei nº 13.146/2015 art. 28 inc. XVI, Lei nº 13.146/2015 art. 3º inc. I, Lei nº 13.146/2015 art. 56",1
"Lei nº 10.150 2000 art 2 §3, Lei nº 8.100 1990","Lei nº 10.150/2000 art. 2º § 3º, Lei nº 8.100/1990",1
"Lei nº 10.168/2000 art 2º § 2º, Lei nº 10.168/2000 art 2º § 3º, Lei nº 10.332/2001","Lei nº 10.168/2000 art. 2º § 2º, Lei nº 10.168/2000 art. 2º § 3º, Lei nº 10.332/2001",1
"Lei nº 10.179 2001 art 6º, Lei nº 4.320 1964 art 54, Lei nº 9.430 1996 art 74 §12 II c, Lei nº 9.430 1996 art 74 §12 II d","Lei nº 10.179/2001 art. 6º, Lei nº 4.320/1964 art. 54, Lei nº 9.430/1996 art. 74 § 12 inc. II al. c, Lei nº 9.430/1996 art. 74 § 12 inc. II al. d",1
Lei nº 10.188 2001,Lei nº 10.188/2001,1
Lei nº 10.188 2001 art 9º,Lei nº 10.188/2001 art. 9º,1
"Lei nº 10.209 2001, Lei nº 10.561 2002","Lei nº 10.209/2001, Lei nº 10.561/2002",1
"Lei nº 10.233 2001, Lei nº 6.830 1980 Artigo referente à cobrança judicial de créditos inscritos em CDA, Lei nº 9.873 1999 Art 1º-A","Lei nº 10.233/2001, Lei nº 6.830/1980 art. referente à cobrança judicial. de créditos inscritos em CDA, Lei nº 9.873/1999 art. 1º-A",1
Lei nº 10.259 2001 art. 3º § 3º,Lei nº 10.259/2001 art. 3º § 3º,1
"Lei nº 10.259/2001 Art 3 § 1º, Lei nº 10.259/2001 art 3, Lei nº 10.259/2001 art 3 § 1º inciso II","Lei nº 10.259/2001 art. 3º § 1º, Lei nº 10.259/2001 art. 3º, Lei nº 10.259/2001 art. 3º § 1º inc. II",1
Lei nº 10.259/2001 Art 3º § 1º II,Lei nº 10.259/2001 art. 3º § 1º inc. II,1
Lei nº 10.259/2001 Art 6º II,Lei nº 10.259/2001 art. 6º II,1
Lei nº 10.259/2001 art 3º,Lei nº 10.259/2001 art. 3º,1
Lei nº 10.259/2001 art 3º § 1º III,Lei nº 10.259/2001 art. 3º § 1º inc. III,1
Lei nº 10.259/2001 art 3º § 1º inciso III,Lei nº 10.259/2001 art. 3º § 1º inc. III,1
Lei nº 10.259/2001 art. 3º § 1º I,Lei nº 10.259/2001 art. 3º § 1º inc. I,1
"Lei nº 10.260/2001 art 6º-B II, Portaria Normativa 7 de 26/04/2013","Lei nº 10.260/2001 art. 6º-B II, Portaria Normativa 7 de 26/04/2013",1
"Lei nº 10.260/2001 art 6º-B § 3º, Lei nº 12.202/2010, Lei nº 6.932/1981","Lei nº 10.260/2001 art. 6º-B § 3º, Lei nº 12.202/2010, Lei nº 6.932/1981",1
"Lei nº 10.260/2001 art 6º-B §3º, Lei nº 12.202/2010, Lei nº 6.932/1981, Portaria Conjunta SGTES SAS 3/2013","Lei nº 10.260/2001 art. 6º-B § 3º, Lei nº 12.202/2010, Lei nº 6.932/1981, Portaria Conjunta SGTES SAS 3/2013",1
"Lei nº 10.260/2001 art 6º-D, Lei nº 12.513/2011","Lei nº 10.260/2001 art. 6º-D, Lei nº 12.513/2011",1
Lei nº 10.286 2003 art 14,Lei nº 10.286/2003 art. 14,1
"Lei nº 10.366/1990, Lei nº 11.473/2007 art 7, Lei nº 8.112/1990","Lei nº 10.366/1990, Lei nº 11.473/2007 art. 7º, Lei nº 8.112/1990",1
"Lei nº 10.417/2002 art 1º § 1º, Lei nº 10.475/2002, Lei nº 10.944/2002, Lei nº 11.416/2006 art 11, Lei nº 11.416/2006 art 13 § 2º, Lei nº 11.416/2006 art 16 caput e § 1º, Lei nº 9.421/1996, Portaria 201 2006 STF","Lei nº 10.417/2002 art. 1º § 1º, Lei nº 10.475/2002, Lei nº 10.944/2002, Lei nº 11.416/2006 art. 11, Lei nº 11.416/2006 art. 13 § 2º, Lei nº 11.416/2006 art. 16 caput e § 1º, Lei nº 9.421/1996, Portaria 201 2006 STF",1
"Lei nº 10.474/2002, Lei nº 7.595/1987 art 4º, Lei nº 9.655/1998, Resolução 129/1994","Lei nº 10.474/2002, Lei nº 7.595/1987 art. 4º, Lei nº 9.655/1998, Resolução 129/1994",1
