ID_novo,ramo,numero_processo,tipo_de_processo,relator,data_julgamento,link_1,fonte_html,texto_citacao_raw
25975,Mandato eletivo,2797,Pet,Min. Gerardo Grossi,2/21/2008,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=2797/processoClasse=PET/decisaoData=20080221,local,"(Res. nº 22705 na Pet nº 2797, de 21.2.2008, rel. Min. Gerardo Grossi.)"
25976,Mandato eletivo,3,Cta,Min. Torquato Jardim,8/3/1995,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/6196,local,"(Res. nº 19326 na Cta nº 3, de 3.8.95, rel. Min. Torquato Jardim.)"
25977,Mandato eletivo,410,RCEd,Min. Roberto Rosas,4/30/1987,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/8607,local,"(Ac. nº 8754 no RCEd nº 410, de 30.4.87, rel. Min. Roberto Rosas.)"
25978,Mandato eletivo,424,Cta,Min. Eduardo Alckmin,4/7/1998,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=424/processoClasse=CTA/decisaoData=19980407,local,"(Res. n º 20164 na Cta nº 424, de 7.4.98, rel. Min. Eduardo Alckmin.)"
25979,Mandato eletivo,454,RCED,Min. Américo Luz,12/17/1991,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/14667,local,"(Ac. nº 12143 no RCED nº 454, de 17.12.91, rel. Min. Américo Luz;"
25980,Mandato eletivo,455,RCED,Min. Américo Luz,12/17/1991,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/8601,local,"Ac. nº 12144 no RCED nº 455, de 17.12.91, rel. Min. Américo Luz.)"
25981,Mandato eletivo,572,Cta,Min. Edson Vidigal,2/15/2000,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=572/processoClasse=CTA/decisaoData=20000215,local,"(Res. n º 20552 na Cta nº 572, de 15.2.2000, rel. Min. Edson Vidigal.)"
25982,Mandato eletivo,60001486,Ac.,Min. Estela Aranha,11/10/2025,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/3479874,local,"(Ac. de 10/11/2025 na CtaEl n. 060001486, rel. Min. Estela Aranha.)"
25983,Mandato eletivo,6933,Cta,Min. José Guilherme Villela,3/15/1984,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/13528,local,"(Res. n º 11836 na Cta nº 6933, de 15.3.84, rel. Min. José Guilherme Villela.)"
25984,Mandato eletivo,706,Cta,Min. Sepúlveda Pertence,9/11/2001,https://sjur-servicos.tse.jus.br/sjur-servicos/rest/download/pdf/tribunal=TSE/processoNumero=706/processoClasse=CTA/decisaoData=20010911,local,"(Res. n º 20864 na Cta nº 706, de 11.9.2001, rel. Min. Sepúlveda Pertence.)"
